location,transit_id,school_id
6800 block paschall ave,NA,NA
1400 block w pike st,NA,NA
0 block n 60th st,Market-Frankford Line - 60th,NA
1000 block s 55th st,NA,NA
1800 block s 5th st,NA,NA
6700 block smedley st,NA,NA
1100 block s broad st,NA,NA
5800 block osceola st,NA,NA
3800 block n fairhill st,NA,NA
400 block s 56th st,NA,NA
700 block e cornwall st,NA,NA
52nd & girard ave,NA,NA
1200 block brown st,NA,NA
2400 block reed st,NA,NA
4500 block n 18th st,NA,NA
3100 block custer st,NA,NA
400 block n8th st,NA,NA
broad st & olney av,Broad Street Line - Olney,"GIRLS, PHILA HIGH SCHOOL FOR"
broad & olney ave,Broad Street Line - Olney,"GIRLS, PHILA HIGH SCHOOL FOR"
1700 block w oxford ave,NA,"MEADE, GEN. GEORGE G. SCHOOL"
400 block w manheim st,NA,NA
4900 block hoopes st,NA,NA
1300 block n orianna st,NA,NA
1000 block w ontario st,NA,NA
3943bennington st,NA,NA
2300 block w glenwood av,NA,NA
2500 block n myrtlewood st,NA,NA
2800 block boudinot st,Market-Frankford Line - Somerset,NA
800 block n 10th st,NA,NA
5200 block parrish st,NA,NA
1400 block franklin mills circle,NA,NA
5300 block chancellor st,NA,NA
1600 block bridge st,Market-Frankford Line - Frankford Transportation Center,NA
4700 block rising sun ave,NA,NA
5600 block washington ave,NA,NA
6300 block haverford ave,NA,NA
2000 block stenton st,NA,NA
700 block s frazier st,NA,NA
900 block w venango st,NA,NA
germantown ave,NA,NA
5900 block oxford ave,NA,NA
600 block e clearfield st,NA,NA
park and olney ave,Broad Street Line - Olney,NA
5300 block belfield ave,NA,NA
5200 block master st,NA,NA
5500 block summer pl,NA,NA
1600 block st lukes st,NA,NA
5500 block locust st,NA,NA
2900 block d st,NA,NA
6900 block large st,NA,NA
4600 block germantown ave,NA,NA
1400 block w allegheny ave,Broad Street Line - Allegheny,NA
0 block n 56th st,Market-Frankford Line - 56th,NA
6400 block upland st,NA,NA
7400 block rowland ave,NA,NA
7400 block rowland st,NA,NA
2800 block w somerset st,NA,NA
6300 block media st,NA,NA
3100 block weymouth st,NA,NA
21st & nedro st,NA,NA
1500 block market st,Market-Frankford Line - 15th,NA
2900 block ella st,NA,NA
3700 block aramingo ave,NA,NA
2700 block b st,NA,VISITATION SCHOOL
ashmead & wakefield sts,NA,NA
23rd & indiana ave,NA,NA
2200 block w indiana ave,NA,NA
5200 block wyalusing ave,NA,NA
3400 block i st,NA,NA
2200 block cecil b moore ave,NA,NA
700 block w somerset st,NA,NA
6600 block woodland st,NA,NA
4700 block a street,NA,NA
2700 block n hicks st,NA,NA
2000 block e glenwood ave,NA,NA
1700 block w dauphin st,NA,NA
2400 block n 20th st,NA,NA
5200 block larchwood st,NA,NA
52nd & market st,Market-Frankford Line - 52nd,NA
18th & susquehanna ave,NA,NA
2300 block w norris st,NA,NA
6500 block lindbergh blvd,NA,NA
2900 block cecil b moore ave,NA,NA
4600 block tackawanna st,NA,NA
1600 block pratt st,Market-Frankford Line - Frankford Transportation Center,NA
4900 block wayne ave,NA,NA
2500 block s felton st,NA,NA
1900 block n 59th st,NA,OVERBROOK HIGH SCHOOL
2400 block s 65th st,NA,NA
1400 block s 26th st,NA,NA
3400 block ridge ave,NA,NA
6300 block elmwood ave,NA,"MORTON, THOMAS G. SCHOOL"
800 block w butler st,NA,NA
5500 block chestnut st,NA,NA
5100 block cedar ave,NA,NA
5200 block ludlow st,Market-Frankford Line - 52nd,NA
"3200 block ""f"" st",NA,NA
4200 block tackawanna st,NA,NA
5500 block old york rd,NA,NA
5500 block old york road,NA,NA
1400 block n 57th st,NA,NA
2500 block n dover st,NA,NA
1000 block filbert st,NA,NA
c & somerset st,NA,NA
1400 block pacific st,NA,NA
n 4th st  /  w champlost av,NA,NA
9th st & lindley ave,NA,LINDLEY ACADEMY CHARTER @ BIRNEY
200 block w queen ln,NA,NA
2400 block w cambria st,NA,NA
3100 block nrosewood st,NA,NA
0 block s salford st,Market-Frankford Line - 60th,NA
3100 block n carlisle st,NA,NA
2600 block n 4th st,NA,NA
3800 block n percy st,NA,NA
2300 block edgley st,NA,NA
5000 block brown st,NA,NA
germantown /  wister st,NA,NA
germantown / wister st,NA,NA
6700 block n 16th st,NA,NA
2900 block n 22nd st,NA,NA
2000 block 67th ave,NA,NA
1500 block wingohocking st,NA,NA
6500 block greenway ave,NA,NA
20th & susquehanna ave,NA,NA
4800 block n 15th st,NA,NA
1700 block wingohocking st,NA,NA
1700 block w wingohocking st,NA,NA
1300 block e haines st,NA,NA
2100 block s 60th st,NA,NA
300 block n 62nd st,NA,NA
1100 block w olney ave,NA,NA
1700 block w york st,NA,NA
1700 block n25th st,NA,NA
5600 block kingsessing ave,NA,MITCHELL ELEMENTARY SCHOOL
24th & oxford st,NA,NA
2600 block coral st,NA,NA
2800 block kip st,NA,NA
4000 block aspen st,NA,NA
1200 block e haines st,NA,NA
1900 block margaret st,NA,NA
18th & cumberland st,NA,NA
5700 block musgrave st,NA,NA
2900 block morris st,NA,NA
600 block s 58th st,NA,NA
4000 block e cheltenham ave,NA,NA
